,title,rating
391,Fuller House,6.8
392,Friends from College,6.8
393,Daybreak,6.7
394,Collateral,6.7
395,Disjointed,6.7
396,The Disappearance of Madeleine McCann,6.6
397,Insatiable,6.6
398,Iron Fist,6.5
399,Wu Assassins,6.4
400,Chambers,6.5
401,The Rain,6.3
402,Black Summer,6.4
403,What/If,6.3
404,Dear White People,6.2
405,V-Wars,6.1
406,October Faction,6.1
407,Between,6.0
408,Haters Back Off!,6.0
409,Another Life,4.9
410,The I-Land,4.5
411,Bill Nye Saves the World,3.6
412,Tiger King,7.7
